Month,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2025-02,NASDAQ PSX (X),109542613,125532497,171401669,406476779,6848104777.1781,10449743891.503698,10061239634.8678,27359088303.549595,1619896,701170,2094335,4415401
2025-02,NYSE (N),21085994089,1026325720,1740639967,23852959776,1218086115772.1277,53017808183.7985,78416584444.7979,1349520508400.724,72978681,3904103,14792234,91675018
2025-02,NYSE American (A),102988976,394805005,125638125,623432106,5445991138.012599,5119272449.7439995,6110584342.035999,16675847929.792603,1186064,1272539,1112321,3570924
2025-02,NYSE Arca (P),4050110299,7664757104,14909063845,26623931248,208001029400.5263,459893614081.0165,434431775917.4463,1102326419398.989,47429432,33765410,96576377,177771219
2025-02,NYSE National (C),308976170,208923326,340499312,858398808,11290731009.255102,7948376155.550798,11355413344.9342,30594520509.7401,3855442,1251989,3926257,9033688
2025-02,NYSE Texas (M),283964773,269864777,439572587,993402137,23988659630.1401,40901109521.3428,64753533496.1839,129643302647.6668,710081,450318,787876,1948275
2025-03,BYX Equities (Y),864208462,511632842,1149214721,2525056025,38703160541.16509,23957463694.882904,42764492847.649,105425117083.69699,11692536,3119728,11404636,26216900
2025-03,BZX Equities (Z),4118947301,3371699178,5132127434,12622773913,213683848148.27505,205997733753.5647,303608171120.0575,723289753021.8975,61024054,16711579,59553227,137288860
2025-03,EDGA Equities (J),641100753,504039407,1168340689,2313480849,24549654867.5983,32722984551.9397,31835149389.358105,89107788808.89609,7976624,2627638,8601789,19206051
2025-03,EDGX Equities (K),3176702860,3494941521,9828177338,16499821719,130402053861.4126,169294846140.75507,338654905636.6988,638351805638.8667,29394998,18252095,57447373,105094466
2025-03,FINRA / NYSE TRF (DN),1837970677,1256352475,3918033173,7012356325,77556420920.13289,71543768001.7173,126082213751.91742,275182402673.76764,14270886,4021489,15897251,34189626
2025-03,FINRA / Nasdaq TRF Carteret (DQ),51012818218,28425240217,77326565755,156764624190,2320655019162.555,1497690445620.3228,3254197055028.8853,7072542519811.763,366627000,86699560,386811881,840138441
2025-03,FINRA / Nasdaq TRF Chicago (DB),180243018,118624026,424326267,723193311,8477459085.2734995,6348690964.4178,34096944718.4694,48923094768.1607,1362512,526366,3000376,4889254
2025-03,Investors Exchange (V),4500452322,1705121881,4175143718,10380717921,239985509612.37314,94067804117.9419,224513433122.63184,558566746852.9468,53675424,8018067,45593960,107287451
2025-03,LTSE (L),63542092,8886950,75389549,147818591,1601826136.3135,1302251156.6112003,3120801396.8903,6024878689.814999,186472,36098,223834,446404
2025-03,MIAX Pearl (H),692549239,1043844419,1690980015,3427373673,20739429575.2139,43538134863.2436,44787033179.6608,109064597618.1183,5774870,3233754,8595417,17604041
2025-03,Members Exchange (U),1350353902,1443773762,4006933767,6801061431,56600619110.9133,69197663870.2348,109459468171.40869,235257751152.55685,15465971,6350714,21008090,42824775
2025-03,NASDAQ (Q),10192890431,5194533410,34581558888,49968982729,559370666837.0648,358955003875.9496,2126699986920.7275,3045025657633.743,152523405,29336893,236835816,418696114
2025-03,NASDAQ BX (B),292827392,236021237,369299207,898147836,20488278309.5832,12313177069.4259,22537986411.328102,55339441790.337204,4206189,1723246,4125928,10055363
2025-03,NASDAQ PSX (X),118214509,128637476,168025264,414877249,7170880603.155202,13944990108.498898,10347643050.1767,31463513761.830803,1775511,713947,2078322,4567780
2025-03,NYSE (N),28603902469,1310798679,2185594089,32100295237,1574677773231.2397,74327975146.9327,102955924507.01721,1751961672885.1897,90451435,4958221,18124243,113533899
2025-03,NYSE American (A),122845762,470434739,137373220,730653721,6017269470.494901,6344163108.763401,6645713492.051602,19007146071.3099,1394287,1315993,1268290,3978570
2025-03,NYSE Arca (P),4873049008,9680278751,16194027918,30747355677,233372384249.957,643355521917.053,541159850361.5863,1417887756528.5962,56958726,42526293,108441479,207926498
2025-03,NYSE National (C),394982319,247468813,408197920,1050649052,13623984815.691303,9333579935.0028,13380590417.2104,36338155167.904495,4836615,1394222,4184050,10414887
2025-03,NYSE Texas (M),318125460,320691614,406464640,1045281714,23981943211.282894,44109540550.6789,52481120085.1177,120572603847.07951,671677,430377,769227,1871281
2025-04,BYX Equities (Y),1260498592,755894973,1654562773,3670956338,52028850632.760605,33749881184.6474,61235169697.532005,147013901514.94,15337526,4189750,14841437,34368713
2025-04,BZX Equities (Z),4877149807,4563445578,6356588967,15797184352,244415707605.0255,294544634825.5658,343584515777.5858,882544858208.1769,70483619,24539035,67600556,162623210
2025-04,EDGA Equities (J),736543801,633112440,1453594250,2823250491,28148485486.447304,37285710966.78319,42765168331.28199,108199364784.5125,9331059,3670310,9780230,22781599
2025-04,EDGX Equities (K),3486736419,5238868873,13471182732,22196788024,144882301899.2933,244075250118.2399,377523321640.17566,766480873657.709,34215588,26878191,66965915,128059694
2025-04,FINRA / NYSE TRF (DN),2605694380,2152392510,7015399901,11773486791,108404127842.53358,104137188731.01767,177646289564.61813,390187606138.16943,21399477,6783112,23076173,51258762
2025-04,FINRA / Nasdaq TRF Carteret (DQ),52451404697,36028463376,93309933532,181789801605,2309644175082.1914,1787478071602.3572,3332179394329.5825,7429301641014.132,374798225,103897455,392908280,871603960
2025-04,FINRA / Nasdaq TRF Chicago (DB),800549943,422551180,1268919043,2492020166,38200599592.6643,20157325577.8841,68609620506.04383,126967545676.59224,6316929,1416953,7406002,15139884
2025-04,Investors Exchange (V),4939751175,2379520972,4823492450,12142764597,244814280207.1918,123505820061.15678,236731449184.95514,605051549453.3037,56897179,10571864,47980573,115449616
2025-04,LTSE (L),13021093,2796402,16066972,31884467,429092704.3982,203095224.0111,392667758.9632,1024855687.3725,44411,13121,56217,113749
2025-04,MIAX Pearl (H),670784451,1473971652,2180876625,4325632728,19981704355.1503,63170723690.175804,53565586370.97289,136718014416.299,6428380,5092281,9722561,21243222
2025-04,Members Exchange (U),1607481073,2162497760,6054696913,9824675746,67958377899.3022,108664504482.3209,142395211982.5057,319018094364.12885,18321257,10180032,24853139,53354428
2025-04,NASDAQ (Q),12602168645,7360069738,37400153634,57362392017,663998539459.7026,527158484686.51,2211370475372.725,3402527499518.9375,182331328,45774524,274834421,502940273
2025-04,NASDAQ BX (B),368708189,373917931,485712369,1228338489,25878416878.203697,18601465656.980698,31362840323.448,75842722858.63239,5349254,2390356,5270726,13010336
2025-04,NASDAQ PSX (X),174718731,200553685,255153522,630425938,10782801805.434898,26161338779.168495,16353874429.236105,53298015013.8395,3068017,1195360,3100896,7364273
2025-04,NYSE (N),27527558865,1875204862,2565395667,31968159394,1418404119255.1553,108266055709.46718,113970097917.6638,1640640272882.2864,108728014,7348034,22344116,138420164
2025-04,NYSE American (A),172185550,457488546,214738358,844412454,8641889853.9783,7307657873.1573,10057422231.6649,26006969958.800495,1810318,1508080,1710030,5028428
2025-04,NYSE Arca (P),5638352131,14240320512,24240137717,44118810360,271696839428.04092,915323124045.4712,673956822662.3384,1860976786135.8506,67691870,65381585,132947021,266020476
2025-04,NYSE National (C),486793772,387436301,517100901,1391330974,17369215509.841297,12775010999.9652,18161098779.2283,48305325289.03481,5812353,1952933,5025046,12790332
2025-04,NYSE Texas (M),365315650,463685185,442114287,1271115122,26196795255.4756,55321295045.5823,55313024546.72951,136831114847.7874,710360,409289,751245,1870894
2025-05,BYX Equities (Y),839047959,505206839,1359231574,2703486372,34306439240.088,24108639396.889503,40940443957.27251,99355522594.25002,10420932,2965998,11058868,24445798
2025-05,BZX Equities (Z),4070736606,2762401398,5988604584,12821742588,212069042987.0224,191982214676.92938,306705353001.04254,710756610664.9943,56569793,13887631,58208144,128665568
2025-05,EDGA Equities (J),600713858,432986311,1488755409,2522455578,22884522050.569004,24145715703.290398,29875465618.146996,76905703372.0064,8057615,2495483,9126142,19679240
2025-05,EDGX Equities (K),3392578869,3750816002,13886835017,21030229888,150693452683.60367,164741872622.07483,372501275356.0499,687936600661.7284,33975579,17448025,66249003,117672607
2025-05,FINRA / NYSE TRF (DN),1814886144,1229577628,5621775480,8666239252,81273508526.58911,50365266045.67729,125038651578.2524,256677426150.51883,14547262,4316797,16437109,35301168
2025-05,FINRA / Nasdaq TRF Carteret (DQ),49600128418,28474808194,98458676887,176533613499,2221363969247.0396,1269182899561.0376,3240141256400.92,6730688125208.997,349676460,85916882,384186001,819779343
2025-05,FINRA / Nasdaq TRF Chicago (DB),212967969,123105519,513163068,849236556,11099705011.4236,7047316810.115,35192757233.2409,53339779054.77951,1508436,517312,2955608,4981356
2025-05,Investors Exchange (V),4162856849,1579001766,4282136238,10023994853,206535347007.67667,83236112047.8788,196687177086.3344,486458636141.88995,48041128,7153426,42283629,97478183
2025-05,LTSE (L),10311641,3262026,15431904,29005571,273322562.83939993,152811834.5439,209680059.1689,635814456.5522,28707,12229,38885,79821
2025-05,MIAX Pearl (H),654290950,1110109745,2269029710,4033430405,21312905847.782898,45031686310.02721,49417777439.73391,115762369597.544,6150709,3531153,9389097,19070959
2025-05,Members Exchange (U),1411700160,1580883886,5919451624,8912035670,62555615966.168,73846189957.75288,138462996878.5401,274864802802.46106,15909771,6628486,23796232,46334489
2025-05,NASDAQ (Q),10066470233,4378210238,33683974638,48128655109,561360496945.9094,335548832557.31085,2011153242189.0515,2908062571692.272,149885366,27442913,241142399,418470678
2025-05,NASDAQ BX (B),305591944,209178589,428355921,943126454,20801225428.438198,11194432009.468102,24096474938.029705,56092132375.936,4542778,1575971,4678274,10797023
2025-05,NASDAQ PSX (X),123047396,90982773,167888138,381918307,8168122021.588999,12328243406.216501,10571747218.9362,31068112646.741703,2249123,539327,2331955,5120405
2025-05,NYSE (N),24116804408,1504174352,2678171609,28299150369,1350786535274.9802,82309204494.77359,111334556781.4423,1544430296551.1963,83522400,5486280,20977502,109986182
2025-05,NYSE American (A),126002054,479992770,158482264,764477088,5751104535.0738,5628311200.334501,6949959872.815399,18329375608.223705,1396281,1458547,1478935,4333763
2025-05,NYSE Arca (P),4925894554,9243764319,26135240231,40304899104,243069060937.51797,589492760530.3367,621173101600.1884,1453734923068.043,58865577,40282399,126857204,226005180
2025-05,NYSE National (C),428457269,232705695,488651160,1149814124,14324450905.3672,10889848890.6487,14806802355.172798,40021102151.18869,5325398,1373960,4697247,11396605
2025-05,NYSE Texas (M),367142579,340166753,510061119,1217370451,30644186235.011894,48790835827.71011,72905974805.27899,152340996868.001,544045,219767,585052,1348864
2025-06,BYX Equities (Y),798706393,531547313,1153773421,2484027127,31350099125.537395,25067069822.230007,39377495270.7092,95794664218.47661,9984933,3051204,10334334,23370471
2025-06,BZX Equities (Z),3762568421,2767192543,5561120999,12090881963,199270271550.4367,210439178898.94485,295692206362.5907,705401656811.9723,53533291,13916720,54578906,122028917
2025-06,EDGA Equities (J),592997420,474604794,1305330603,2372932817,22989365592.983494,29885572814.995995,33341317012.703606,86216255420.68309,8653644,2738444,9606877,20998965
2025-06,EDGX Equities (K),3208279635,3677256638,11771477456,18657013729,145898112398.4265,164026884072.47946,340279865298.45483,650204861769.3611,33240201,16970137,63618989,113829327
2025-06,FINRA / NYSE TRF (DN),1474007455,1002382830,2892840358,5369230643,61126027137.930595,35273451536.06889,115335130283.2654,211734608957.2649,9626140,2214533,10710068,22550741
2025-06,FINRA / Nasdaq TRF Carteret (DQ),51051180629,31132264864,99132360208,181315805701,2244018633933.7305,1263325112355.7693,3260177400912.921,6767521147202.423,331158672,88260032,377191443,796610147
2025-06,FINRA / Nasdaq TRF Chicago (DB),222638624,129511614,495934905,848085143,11720867962.787003,5940923356.3812,36173059169.962906,53834850489.1311,1562255,523306,2985277,5070838
2025-06,Investors Exchange (V),3793153932,1669989240,3942242023,9405385195,190870675200.28857,82905765212.20708,186907150397.6992,460683590810.1948,44448005,7410893,39141320,91000218
2025-06,LTSE (L),1681503,4014110,6783316,12478929,67850359.9636,71054473.9416,90918759.7131,229823593.61830002,9092,10092,16632,35816
2025-06,MIAX Pearl (H),669135878,1156380912,1908528188,3734044978,23528127121.222702,59856571736.22621,48004953722.5744,131389652580.02332,6446504,4255469,8900134,19602107
2025-06,Members Exchange (U),1383481451,1759108125,4948402179,8090991755,63596402015.430695,86593829964.30588,135009275768.6006,285199507748.3372,15586922,7111159,22488211,45186292
2025-06,NASDAQ (Q),9551969274,4608741918,34142648486,48303359678,546465230855.08826,376944863869.368,2095724153187.918,3019134247912.3745,142761036,27888040,227202386,397851462
2025-06,NASDAQ BX (B),284762981,202742619,382495360,870000960,19598591793.6903,10522317543.139801,23474807950.5664,53595717287.39651,4211155,1365968,4596799,10173922
2025-06,NASDAQ PSX (X),130112353,98880091,170123949,399116393,8679042672.9162,12324197930.344997,11820956327.588701,32824196930.849895,2350811,566683,2588577,5506071
2025-06,NYSE (N),26200461514,1692909910,2654084659,30547456083,1447938900974.617,95700472057.20691,104038211113.29271,1647677584145.1167,75037650,6100703,19486562,100624915
2025-06,NYSE American (A),130989388,811691543,149241152,1091922083,6267340542.84,7304856288.163602,6948830038.2009,20521026869.204502,1403153,1673590,1485123,4561866
2025-06,NYSE Arca (P),4906198693,9921820480,22067329205,36895348378,242560184384.55508,660215343221.018,627423504174.7338,1530199031780.307,58290374,42083940,123124059,223498373
2025-06,NYSE National (C),429793340,308535954,477693423,1216022717,14745333595.632101,14234284084.1895,16602658822.632504,45582276502.4541,5280671,1850101,4698096,11828868
2025-06,NYSE Texas (M),362029263,396224822,446406273,1204660358,29749249430.918297,52963230068.4832,73312586651.89291,156025066151.2944,567680,208957,556986,1333623
2025-07,BYX Equities (Y),909490689,573962033,1299440656,2782893378,39031743768.954796,31205566414.484695,45477072165.7638,115714382349.2033,11325025,3498287,12245004,27068316
2025-07,BZX Equities (Z),4411662267,2941086345,6683999525,14036748137,244605413981.2437,238142785319.71707,331226908027.12335,813975107328.0841,64677328,16030849,64096472,144804649
2025-07,EDGA Equities (J),678126851,495299158,2079628663,3253054672,30443734759.740906,33630582395.115204,36821452234.3905,100895769389.2466,9360674,3103386,10755495,23219555
2025-07,EDGX Equities (K),3647977878,3777632207,11888471232,19314081317,163845910021.9453,184517612492.2727,343114128195.74365,691477650709.9615,39342636,18563179,69231012,127136827
2025-07,FINRA / NYSE TRF (DN),2273240454,1727272958,8086480313,12086993725,84291219396.4685,51262942537.20879,163617388040.00912,299171549973.6864,12616185,3634882,17439940,33691007
