name;open;high;low;close;volume;marketCap;timestamp
"2781";1349.2012776653;1529.7141820499;1341.8186807944;1446.6827069354;47321528.88;0;"2022-08-28 17:00:00"
"2781";1446.5656238645;1678.1941644623;1387.9892891185;1657.048010231;77366715.77;0;"2022-09-04 17:00:00"
"2781";1656.4067723844;1675.0375635749;1293.9114659646;1297.2068245878;91987506.87;0;"2022-09-11 17:00:00"
"2781";1297.6747839523;1345.3213436377;1173.6038707066;1249.3733289386;57799150.07;0;"2022-09-18 17:00:00"
"2781";1249.467000787;1349.6771086366;1219.6523678128;1238.5671558714;50524614.63;0;"2022-09-25 17:00:00"
"2781";1238.6147977561;1342.5513497123;1230.7338212121;1282.4947230647;46254986.8;0;"2022-10-02 17:00:00"
"2781";1282.5787703187;1300.8127386139;1167.6519012213;1266.8266604345;41089198.99;0;"2022-10-09 17:00:00"
"2781";1266.6168788033;1327.8818326092;1219.9826856069;1322.1468008768;45640857.59;0;"2022-10-16 17:00:00"
"2781";1322.2257779742;1608.9558169902;1284.5106724408;1551.11720364;45354206.8;0;"2022-10-23 17:00:00"
"2781";1551.1172034907;1625.2350490168;1473.5249624793;1536.0846886769;43130666.95;0;"2022-10-30 17:00:00"
"2781";1535.5227609938;1567.3470070033;1028.7930573222;1170.4972623046;119136857.01;0;"2022-11-06 16:00:00"
"2781";1170.7637990362;1239.1412133311;1093.2636421611;1101.6538101174;73673495.1;0;"2022-11-13 16:00:00"
"2781";1101.1870606245;1183.7604648484;1036.1298944299;1153.785022908;57804545.52;0;"2022-11-20 16:00:00"
"2781";1153.7850227;1265.7488236857;1117.4607669265;1230.3238342837;61744453.38;0;"2022-11-27 16:00:00"
"2781";1229.5515952727;1253.8164399299;1174.759725719;1227.8119802521;52616028.17;0;"2022-12-04 16:00:00"
"2781";1227.8119797604;1312.8492540737;1130.4835019303;1164.6852043792;95416927.46;0;"2022-12-11 16:00:00"
"2781";1164.6852048356;1205.0229805559;1128.2181239304;1195.0136469997;54731257.12;0;"2022-12-18 16:00:00"
"2781";1196.0800911852;1210.1158647934;1159.9524744402;1175.7794003773;73131010.27;0;"2022-12-25 16:00:00"
"2781";1175.7794006425;1277.03407882;1170.7614205565;1277.0340753357;68140950.52;0;"2023-01-01 16:00:00"
"2781";1272.165581577;1551.1258330319;1270.2245542686;1535.2445809649;71516638.8;0;"2023-01-08 16:00:00"
"2781";1535.2445811694;1682.1537078876;1500.4142883724;1633.9054192475;86630361.23;0;"2023-01-15 16:00:00"
"2781";1632.954051481;1658.886229302;1528.31921927;1645.9910908735;94258941.44;0;"2023-01-22 16:00:00"
"2781";1646.0898059565;1710.2601298418;1543.1194997185;1636.0350237428;77959054.26;0;"2023-01-29 16:00:00"
"2781";1636.1713918602;1714.2306069128;1488.961605093;1506.848589973;134463737.07;0;"2023-02-05 16:00:00"
"2781";1507.8269888186;1737.2811428223;1464.2159278671;1681.2981881958;94881266.86;0;"2023-02-12 16:00:00"
"2781";1682.4999409288;1729.7108170747;1569.8798273252;1649.4031924656;58131202.22;0;"2023-02-19 16:00:00"
