name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2781";1.0169;1.11373;0.998372;1.0129;509276;24149158.59;23841601.92;"2018-10-14 17:00:00"
"2781";1.01231;1.0248;1.00107;1.01107;282707;125585473.77;124210463.94;"2018-10-21 17:00:00"
"2781";1.01083;1.019;0.982746;0.997669;2144200;131925671.16;132233908.4;"2018-10-28 17:00:00"
"2781";0.996997;1.02973;0.995854;1.00901;4726130;135307299.94;134099067.34;"2018-11-04 16:00:00"
"2781";1.00856;1.06139;0.999077;1.01188;5735460;144472180.08;142776001.18;"2018-11-11 16:00:00"
"2781";1.01203;1.0567;0.990265;1.02596;23476200;170393048.5;166081570.92;"2018-11-18 16:00:00"
"2781";1.01831;1.05881;0.9932867265;1.0127712083;10761894.92;178770938.26;176516607.89;"2018-11-25 16:00:00"
"2781";1.0111194379;1.0327738608;1.0002159111;1.0182528405;14831258.81;188363784.19;184987241.58;"2018-12-02 16:00:00"
"2781";1.0181712766;1.0428646731;0.9829853996;1.0119610354;9383751.11;204222546.55;201808705.49;"2018-12-09 16:00:00"
"2781";1.0274522132;1.0339689899;0.997087341;1.0107187846;23629167.73;230406707.71;227963219.06;"2018-12-16 16:00:00"
"2781";1.0107487148;1.0402584327;0.9785832076;1.01316869;18537225.1;249383514.72;246142145.13;"2018-12-23 16:00:00"
"2781";1.012397959;1.0257654161;0.9891688257;1.0101080451;18503989;305397453.05;302341372.83;"2018-12-30 16:00:00"
"2781";1.0095088556;1.0347933509;1.0007630196;1.0111094628;16808894.46;372399548.3;368307845.99;"2019-01-06 16:00:00"
"2781";1.0110120274;1.044891531;0.9987435414;1.0166690627;14934092.26;327478050.12;322108798.35;"2019-01-13 16:00:00"
"2781";1.015444668;1.0227646131;1.0062888047;1.0139415885;17334193.18;333585021.91;328998263.51;"2019-01-20 16:00:00"
"2781";1.0146559216;1.0318915072;1.0007580246;1.0142435009;26365349.13;302531642.04;298283047.19;"2019-01-27 16:00:00"
"2781";1.0137598539;1.0247235154;1.0057996907;1.0143886724;19451267.76;262005710.3;258289270.62;"2019-02-03 16:00:00"
"2781";1.015700889;1.0265481797;1.0034744211;1.0237893131;45168007.38;250117816.39;244305945.76;"2019-02-10 16:00:00"
"2781";1.0231017149;1.037757876;0.9986583461;1.0071806432;51756152.33;231683105.42;230031332.5;"2019-02-17 16:00:00"
"2781";1.0043428822;1.0237241227;1.0043428822;1.0119752681;17429846.13;239435726.9;236602350.33;"2019-02-24 16:00:00"
"2781";1.0103135135;1.0228431107;1.0103135135;1.0195041163;21622741.99;241217070.08;236602350.33;"2019-03-03 16:00:00"
"2781";1.0205566451;1.0235670117;1.0078539164;1.0194492175;38655613.79;243982004.88;239327276.62;"2019-03-10 17:00:00"
"2781";1.0204246773;1.0220322873;1.0033660681;1.0080544681;17336323.6;247226412.38;245251045.65;"2019-03-17 17:00:00"
"2781";1.0087456558;1.0491488767;0.9929548656;1.0014944265;24262614.98;246270111;245902627.6;"2019-03-24 17:00:00"
"2781";1.0013937788;1.0248551971;0.9891502803;1.0053589669;43184041.91;262035385.09;260638631.31;"2019-03-31 17:00:00"
"2781";1.0057491403;1.014706009;0.9936602456;1.0080248949;31692817.87;261528325.94;259446296.67;"2019-04-07 17:00:00"
"2781";1.0080248949;1.0144807977;0.9944106186;1.0020828559;46250000.34;251875249.53;251351720.12;"2019-04-14 17:00:00"
"2781";1.0020704639;1.0242615623;0.9919649196;1.0155938525;44378358.83;296169540.11;291622029.2;"2019-04-21 17:00:00"
"2781";1.0158906634;1.0236889858;1.0032566214;1.0093858221;79929580.93;302262908.99;299452302.95;"2019-04-28 17:00:00"
"2781";1.0091697131;1.0171012271;0.9885573996;0.9983532603;481377527.13;326565573.65;327104229.18;"2019-05-05 17:00:00"
"2781";0.9983532603;1.0188147742;0.9825827753;1.0027730391;184721780.03;358662738.89;357670903.51;"2019-05-12 17:00:00"
"2781";1.0027730391;1.0146823621;0.9922970439;0.9971133871;132653002.58;361061518.97;362106781.06;"2019-05-19 17:00:00"
"2781";0.9974234276;1.0237245769;0.9947858052;0.9991909586;80548186.78;333445431.1;333715420.68;"2019-05-26 17:00:00"
"2781";0.9991909586;1.0170468133;0.9922527032;1.0016636525;71761740.42;338071631.58;337510132.01;"2019-06-02 17:00:00"
"2781";1.00061179;1.0135541651;0.9918338605;1.0002112817;110310160.03;343748614.95;343676002.51;"2019-06-09 17:00:00"
"2781";1.0001428996;1.0189141024;0.9931012131;1.0004633852;126408036.59;344238451.11;344079010.01;"2019-06-16 17:00:00"
"2781";1.0004633852;1.0390427442;0.9936591677;1.0031924067;184930416.33;366985179.17;365817341.46;"2019-06-23 17:00:00"
"2781";1.0031924067;1.0145308073;0.9881037163;0.9967196081;79091528.78;368058331.74;369269681.01;"2019-06-30 17:00:00"
"2781";0.9968359597;1.0147444214;0.9867176645;0.9985678459;106041670.09;381350516.91;381897452.89;"2019-07-07 17:00:00"
"2781";0.999675155;1.0164718355;0.9856358331;1.0014314124;77161429.19;404794928.15;404216327.87;"2019-07-14 17:00:00"
"2781";1.0011573424;1.0179735432;0.9871317965;1.0020148829;61030065.61;423857747.98;423005441.56;"2019-07-21 17:00:00"
"2781";1.0008506883;1.0087107369;0.9933404022;0.9980902738;105761004.19;421167169.41;421973022.34;"2019-07-28 17:00:00"
"2781";0.9981538145;1.0227113452;0.9918432936;0.9975426374;88725827.67;421827378.63;422866515;"2019-08-04 17:00:00"
"2781";0.9988143819;1.0133728963;0.986851924;1.00178389;84496696.98;420617417.95;419868418.89;"2019-08-11 17:00:00"
"2781";1.0017130102;1.0171711663;0.9904634475;0.9991754478;155556320.15;435835634.51;436195300.32;"2019-08-18 17:00:00"
"2781";0.9990660347;1.0284901754;0.987236156;1.0012102194;85163334.3;452961465.8;452413945.67;"2019-08-25 17:00:00"
"2781";1.0012510998;1.0170883233;0.9901100568;1.0031950728;184302338.15;443790057.54;442376631.99;"2019-09-01 17:00:00"
"2781";1.0031950728;1.0168550674;0.990454786;1.0033871214;108479016.57;427289964.34;425847566.95;"2019-09-08 17:00:00"
"2781";1.0031332183;1.0251544308;0.9900571066;1.0021310891;122958976.3;392999540.7;392163804.7;"2019-09-15 17:00:00"
"2781";1.0032011559;1.0550469789;0.9912357136;1.0044898499;114528744.84;429610243.1;427689979.3;"2019-09-22 17:00:00"
"2781";1.0044722517;1.0218955919;0.9954527987;1.0135465196;154064851.73;480030265.95;473614438.68;"2019-09-29 17:00:00"
"2781";1.0122691146;1.0173106009;0.9909126615;1.0031685368;141554667.4;468541248.85;467061347.79;"2019-10-06 17:00:00"
"2781";1.0031685368;1.0151304492;0.9907787531;1.0005032512;142910830.11;474459293.56;474220641.48;"2019-10-13 17:00:00"
"2781";1.000529959;1.0350861708;0.9679258994;1.0008140582;259625515.03;475568091.66;475181266.45;"2019-10-20 17:00:00"
"2781";1.0004015325;1.0405766725;0.9746229024;1.0032124256;208342328.24;468534830.74;467034517.1;"2019-10-27 17:00:00"
