snapped_at,volume
2024-09-25 10:30:00 +0000,1843680603.30535308547755154520873015
2024-09-26 10:30:00 +0000,1490229420.199074445888047348827732
2024-09-27 10:30:00 +0000,2621828659.67111921157789580195283469
2024-09-28 10:30:00 +0000,2052360121.96514133659790904860768828
2024-09-29 10:30:00 +0000,858939996.5974595356948485164863436
2024-09-30 10:30:00 +0000,1475704206.126964349170441443436624
2024-10-01 10:30:00 +0000,2166044535.39047912481252052487038308
2024-10-02 10:30:00 +0000,3167692832.50349827562033902184183093
2024-10-03 10:30:00 +0000,2259001626.52514361511785060983505024
2024-10-04 10:30:00 +0000,1943682507.52856839249485918273106623
2024-10-05 10:30:00 +0000,1511007613.02639112232564241067596705
2024-10-06 10:30:00 +0000,495152445.8866451945964765566643192
2024-10-07 10:30:00 +0000,1129610694.31948677646780061405135123
2024-10-08 10:30:00 +0000,1969732780.30393434939598654111364342
2024-10-09 10:30:00 +0000,1501955838.2942379576227200993117177
2024-10-10 10:30:00 +0000,1735820081.70329545420218000869399674
2024-10-11 10:30:00 +0000,1859837417.67619890063948033496902688
2024-10-12 10:30:00 +0000,1762718345.65137719502134124068640872
2024-10-13 10:30:00 +0000,906884480.7758588736101367292884591
2024-10-14 10:30:00 +0000,1378899992.43964008220422219740367744
2024-10-15 10:30:00 +0000,2273580169.08429195403223801958047614
2024-10-16 10:30:00 +0000,3223519923.386204139743308691680672
2024-10-17 10:30:00 +0000,2060518009.78630412428953781812338148
2024-10-18 10:30:00 +0000,2020513614.72283236114144570444570696
2024-10-19 10:30:00 +0000,1777833690.08617916716107359877009482
2024-10-20 10:30:00 +0000,698123137.94736019817687882512357392
2024-10-21 10:30:00 +0000,1571065353.2016977860258737722105682
2024-10-22 10:30:00 +0000,2147354715.47122986828511370932291002
2024-10-23 10:30:00 +0000,2258584316.1248523172952329293089333
2024-10-24 10:30:00 +0000,2597964818.33982842026088171258911629
2024-10-25 10:30:00 +0000,2611512540.35499850324955261259578802
2024-10-26 10:30:00 +0000,3179219134.7318955222863195876899094
2024-10-27 10:30:00 +0000,688211053.57925362606579334895791762
2024-10-28 10:30:00 +0000,1571245671.21520642335341401193332072
2024-10-29 10:30:00 +0000,3103296640.35815320319697223589077641
2024-10-30 10:30:00 +0000,3156087559.82839089787846544157766245
2024-10-31 10:30:00 +0000,2220300988.0920039546019094947115197
2024-11-01 10:30:00 +0000,2562412663.60502355766984054625049762
2024-11-02 10:30:00 +0000,2055967147.56661034963921176743587216
2024-11-03 10:30:00 +0000,991058314.2050149967077832582650146
2024-11-04 10:30:00 +0000,1541002974.26115215890479503829355666
2024-11-05 10:30:00 +0000,2092061137.42828598692969801671669764
2024-11-06 10:30:00 +0000,5714929968.54915011677354657454693094
2024-11-07 10:30:00 +0000,5463345374.60016825084670422129766757
2024-11-08 10:30:00 +0000,4948780574.85399677746157907467096259
2024-11-09 10:30:00 +0000,4725825471.9413362013243129449602025
2024-11-10 10:30:00 +0000,3804811069.0222253278961671491235812
2024-11-11 10:30:00 +0000,6178985312.99563792704543033749620399
2024-11-12 10:30:00 +0000,11304685434.82886989789375477220841168
2024-11-13 10:30:00 +0000,9796083480.53540305448321052576790685
2024-11-14 10:30:00 +0000,10449497928.33442962852217324910525745
2024-11-15 10:30:00 +0000,6360104541.07557074362754578412280918
2024-11-16 10:30:00 +0000,6271995142.30775868345207465659746332
2024-11-17 10:30:00 +0000,4874855276.42934545476228806447018849
2024-11-18 10:30:00 +0000,4409443178.27260596082596999450310095
2024-11-19 10:30:00 +0000,5707735677.2249502992840566171789108
2024-11-20 10:30:00 +0000,5992067727.9733506989010136485669321
2024-11-21 10:30:00 +0000,6893434417.15033763288833681175393841
2024-11-22 10:30:00 +0000,9022375308.10328319891709171030320796
2024-11-23 10:30:00 +0000,10963372981.3208123305583204166228513
2024-11-24 10:30:00 +0000,6772011777.2504147858033653475354989
2024-11-25 10:30:00 +0000,6182906152.16919510399775824244824662
2024-11-26 10:30:00 +0000,6606258745.61797064225956478556258702
2024-11-27 10:30:00 +0000,5911492005.83679015945374653221761375
2024-11-28 10:30:00 +0000,6320064743.56158596670827442789385653
2024-11-29 10:30:00 +0000,3657351859.91489574103626519637137666
2024-11-30 10:30:00 +0000,5941860327.63350048992438017052622518
2024-12-01 10:30:00 +0000,3705746251.60989447089966526933924864
2024-12-02 10:30:00 +0000,7162398781.46559149995619887555874709
2024-12-03 10:30:00 +0000,10526922202.69942984253697976116670328
2024-12-04 10:30:00 +0000,9476933901.511401914748919012988459208
2024-12-05 10:30:00 +0000,13059753073.9270276762534735004392812
2024-12-06 10:30:00 +0000,9918191112.1311902590239001753485905
2024-12-07 10:30:00 +0000,7703772574.874849748571336252513508465
2024-12-08 10:30:00 +0000,4795319836.864143478450761788172438494
2024-12-09 10:30:00 +0000,4934412175.055798925400147510600454434
2024-12-10 10:30:00 +0000,10437141823.057656170021194943871490375
2024-12-11 10:30:00 +0000,9754490105.997210192911811577325399151
2024-12-12 10:30:00 +0000,8633125203.47341117903141777419838824
2024-12-13 10:30:00 +0000,5811243602.869412982054761608886254128
2024-12-14 10:30:00 +0000,5097375919.34588076188689263794831627
2024-12-15 10:30:00 +0000,2580287155.3746544565420951599264653
2024-12-16 10:30:00 +0000,4277750674.4905817232654098340962323
2024-12-17 10:30:00 +0000,6750443397.11925204443553955792122938
2024-12-18 10:30:00 +0000,5914257707.10179606820266645730144122
2024-12-19 10:30:00 +0000,8221040555.59292326425442103010868736
2024-12-20 10:30:00 +0000,9572156472.844267073322579354572099337
2024-12-21 10:30:00 +0000,7722075858.1994669393080884984225368
2024-12-22 10:30:00 +0000,3284330871.58735507874365437860385405
2024-12-23 10:30:00 +0000,3386665486.2967412672413823121359592
2024-12-24 10:30:00 +0000,5038131189.653465190227271718737008956
2024-12-25 10:30:00 +0000,4001344029.443649958982974544575589397
2024-12-26 10:30:00 +0000,2443094217.073581318673587299920685584
2024-12-27 10:30:00 +0000,3595227618.62429390845016240337261335
2024-12-28 10:30:00 +0000,2914913107.443671205516531707208076288
2024-12-29 10:30:00 +0000,1499368501.725698084024328908374250667
2024-12-30 10:30:00 +0000,2488345071.353632135029048164370065686
2024-12-31 10:30:00 +0000,4278198276.647776038339272844764316
2025-01-01 10:30:00 +0000,3172624507.163639081859039346538530272
2025-01-02 10:30:00 +0000,3656506039.62190883938731656474957555
2025-01-03 10:30:00 +0000,3495417906.710291415357930771850774269
2025-01-04 10:30:00 +0000,3681381076.84480777805808403895752192
2025-01-05 10:30:00 +0000,1811409925.70684308273501516888943952
2025-01-06 10:30:00 +0000,2245488466.216186414908544758853620924
2025-01-07 10:30:00 +0000,4267377408.7233836081631881378470557
2025-01-08 10:30:00 +0000,5705454410.114695642782581923700472828
2025-01-09 10:30:00 +0000,4472003208.658366171833629845168259856
2025-01-10 10:30:00 +0000,3835804007.634277057145203787109034149
2025-01-11 10:30:00 +0000,3407329781.71366296183213284808113131
2025-01-12 10:30:00 +0000,1979333805.90511839340789442922879387
2025-01-13 10:30:00 +0000,2373872320.969795571592475936487366012
2025-01-14 10:30:00 +0000,4986850957.685283453676201075617341081
2025-01-15 10:30:00 +0000,4245787286.135380386426068819818764326
2025-01-16 10:30:00 +0000,6414615040.253368502845645377287823495
2025-01-17 10:30:00 +0000,6562478587.79151050809832649632545002
2025-01-18 10:30:00 +0000,7725022882.5464394630863484162534662
2025-01-19 10:30:00 +0000,6705653040.81362436425285521705799526
2025-01-20 10:30:00 +0000,11479572630.599937706818776566656966
2025-01-21 10:30:00 +0000,8376556832.33789338593695071329009872
2025-01-22 10:30:00 +0000,6417426430.50337539319518818740974996
2025-01-23 10:30:00 +0000,4643714807.72284388290176220131099006
2025-01-24 10:30:00 +0000,5560840819.87669159390135361260901697
2025-01-25 10:30:00 +0000,4576687387.2190553604678591265036668
2025-01-26 10:30:00 +0000,3373530145.67413010926796698640536692
2025-01-27 10:30:00 +0000,6466124894.27771874162341692994024089
2025-01-28 10:30:00 +0000,6555961568.60039021253863216641743844
2025-01-29 10:30:00 +0000,4579413828.594628614862426631078016
2025-01-30 10:30:00 +0000,5599333863.81609554194414775608479424
2025-01-31 10:30:00 +0000,4092035287.73929843727835430029965425
2025-02-01 10:30:00 +0000,5090880592.0035861017462163824348446
2025-02-02 10:30:00 +0000,3804369021.2235999780723633076140883
2025-02-03 10:30:00 +0000,11816384339.050479532712129285496202956
2025-02-04 10:30:00 +0000,10352090927.76278660572963448517738582
2025-02-05 10:30:00 +0000,6008819375.332341600343365930186686144
2025-02-06 10:30:00 +0000,4100857472.324751310638563558150497041
2025-02-07 10:30:00 +0000,4071174336.727833378302411993792743812
2025-02-08 10:30:00 +0000,4602845965.85642486095277188310886183
2025-02-09 10:30:00 +0000,2206045230.455386361680557230196619734
2025-02-10 10:30:00 +0000,2873499560.214028132109366690460425685
2025-02-11 10:30:00 +0000,2880618700.798082963105134967174088344
2025-02-12 10:30:00 +0000,3332143795.29055661754089015538810707
2025-02-13 10:30:00 +0000,4277966018.986739078958446015505023038
2025-02-14 10:30:00 +0000,3117696035.313768120129798290794116546
2025-02-15 10:30:00 +0000,3541492494.482901830705623162507140394
2025-02-16 10:30:00 +0000,1670124201.462231758813804570752192371
2025-02-17 10:30:00 +0000,2006885052.62277092073624300926743416
2025-02-18 10:30:00 +0000,2761721333.381917136324430368357315445
2025-02-19 10:30:00 +0000,3660642674.46179922275201449963253343
2025-02-20 10:30:00 +0000,3044910559.94565241490485077939682304
2025-02-21 10:30:00 +0000,3983088865.088759161948663821503210749
2025-02-22 10:30:00 +0000,5635603730.003788773620846985942278856
2025-02-23 10:30:00 +0000,3512378163.002737979176541143937485584
2025-02-24 10:30:00 +0000,2257358211.53895298017371713040501784
2025-02-25 10:30:00 +0000,5959279836.633311964081292487916462981
2025-02-26 10:30:00 +0000,6073080650.13966135231788983386485654
2025-02-27 10:30:00 +0000,5490498255.9242261026060504672616232
2025-02-28 10:30:00 +0000,5859191508.404856126953512541172593368
2025-03-01 10:30:00 +0000,4423987857.727495211746956277675911618
2025-03-02 10:30:00 +0000,2038629249.638034906266271738075252678
2025-03-03 10:30:00 +0000,8317494377.15350620561140381221763024
2025-03-04 10:30:00 +0000,7059511195.691799158042860523139510252
2025-03-05 10:30:00 +0000,6282655956.91626180908599923891601594
2025-03-06 10:30:00 +0000,4382243262.243297359377692394309416614
2025-03-07 10:30:00 +0000,5082398730.773225652344048403842098334
2025-03-08 10:30:00 +0000,4932784151.47552117948569540913032192
2025-03-09 10:30:00 +0000,1202227792.0272638704884831517759028
2025-03-10 10:30:00 +0000,3612906769.0977925469397266804679492
2025-03-11 10:30:00 +0000,6373717445.926770925158506342109098864
2025-03-12 10:30:00 +0000,4488777602.413858863783053582529507648
2025-03-13 10:30:00 +0000,3361275804.557424788396444740807005192
2025-03-14 10:30:00 +0000,3361037528.669957723537720994967128149
2025-03-15 10:30:00 +0000,2842195603.774045340753841568146545184
2025-03-16 10:30:00 +0000,1349450490.696189670941976221860420496
2025-03-17 10:30:00 +0000,2051756020.743004519368565059498131967
2025-03-18 10:30:00 +0000,2335289081.100365774028553946161958288
2025-03-19 10:30:00 +0000,2175368422.512424676390812972258705743
2025-03-20 10:30:00 +0000,3862036256.415607332906649894391823196
2025-03-21 10:30:00 +0000,2262068494.20780242788499667698711618
2025-03-22 10:30:00 +0000,1656481624.981564294690953025746891753
2025-03-23 10:30:00 +0000,949501357.752612794264738133177385634
2025-03-24 10:30:00 +0000,1760288415.643513238331301996152501024
2025-03-25 10:30:00 +0000,2993771302.563224593561648001999902989
2025-03-26 10:30:00 +0000,2574242093.06282354603089677993252954
2025-03-27 10:30:00 +0000,2321085870.677470016664474376190661728
2025-03-28 10:30:00 +0000,2495169251.92170986677943657480245888
2025-03-29 10:30:00 +0000,2512377597.062799327269034116315254008
2025-03-30 10:30:00 +0000,1450977637.921233002972659361866318
